"material_id","material_name","material_type","item_description","class_name","vendor_name","vendor_item_number","url_link","notes"
97,Blickcrylic - Burnt Sienna,Paint,"Blickrylic Student Acrylics - Burnt Sienna, Half Gallon",Art 3,Blick Art Materials,"00711-8048",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-sienna-half-gallon/,""
98,Blickcrylic - Burnt Umber,Paint,"Blickrylic Student Acrylics - Burnt Umber, Half Gallon",Art 2,Blick Art Materials,"00711-8058",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-umber-half-gallon/,""
98,Blickcrylic - Burnt Umber,Paint,"Blickrylic Student Acrylics - Burnt Umber, Half Gallon",Art 4,Blick Art Materials,"00711-8058",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-umber-half-gallon/,""
98,Blickcrylic - Burnt Umber,Paint,"Blickrylic Student Acrylics - Burnt Umber, Half Gallon",Art 1,Blick Art Materials,"00711-8058",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-umber-half-gallon/,""
98,Blickcrylic - Burnt Umber,Paint,"Blickrylic Student Acrylics - Burnt Umber, Half Gallon",Art 3,Blick Art Materials,"00711-8058",https://www.dickblick.com/items/blickrylic-student-acrylics-burnt-umber-half-gallon/,""
99,Blickcrylic - Magenta,Paint,"Blickrylic Student Acrylics - Magenta, Half Gallon",Art 2,Blick Art Materials,"00711-3048",https://www.dickblick.com/items/blickrylic-student-acrylics-magenta-half-gallon/,""
99,Blickcrylic - Magenta,Paint,"Blickrylic Student Acrylics - Magenta, Half Gallon",Art 4,Blick Art Materials,"00711-3048",https://www.dickblick.com/items/blickrylic-student-acrylics-magenta-half-gallon/,""
99,Blickcrylic - Magenta,Paint,"Blickrylic Student Acrylics - Magenta, Half Gallon",Art 1,Blick Art Materials,"00711-3048",https://www.dickblick.com/items/blickrylic-student-acrylics-magenta-half-gallon/,""
99,Blickcrylic - Magenta,Paint,"Blickrylic Student Acrylics - Magenta, Half Gallon",Art 3,Blick Art Materials,"00711-3048",https://www.dickblick.com/items/blickrylic-student-acrylics-magenta-half-gallon/,""
100,Blickcrylic - Mars Black,Paint,"Blickrylic Student Acrylics - Mars Black, Half Gallon",Art 2,Blick Art Materials,"00711-2048",https://www.dickblick.com/items/blickrylic-student-acrylics-mars-black-half-gallon/,""
100,Blickcrylic - Mars Black,Paint,"Blickrylic Student Acrylics - Mars Black, Half Gallon",Art 4,Blick Art Materials,"00711-2048",https://www.dickblick.com/items/blickrylic-student-acrylics-mars-black-half-gallon/,""
100,Blickcrylic - Mars Black,Paint,"Blickrylic Student Acrylics - Mars Black, Half Gallon",Art 1,Blick Art Materials,"00711-2048",https://www.dickblick.com/items/blickrylic-student-acrylics-mars-black-half-gallon/,""
100,Blickcrylic - Mars Black,Paint,"Blickrylic Student Acrylics - Mars Black, Half Gallon",Art 3,Blick Art Materials,"00711-2048",https://www.dickblick.com/items/blickrylic-student-acrylics-mars-black-half-gallon/,""
101,Blickcrylic - Primary Blue,Paint,"Blickrylic Student Acrylics - Primary Blue, Half Gallon",Art 2,Blick Art Materials,"00711-5018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-blue-half-gallon/,""
101,Blickcrylic - Primary Blue,Paint,"Blickrylic Student Acrylics - Primary Blue, Half Gallon",Art 4,Blick Art Materials,"00711-5018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-blue-half-gallon/,""
101,Blickcrylic - Primary Blue,Paint,"Blickrylic Student Acrylics - Primary Blue, Half Gallon",Art 1,Blick Art Materials,"00711-5018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-blue-half-gallon/,""
101,Blickcrylic - Primary Blue,Paint,"Blickrylic Student Acrylics - Primary Blue, Half Gallon",Art 3,Blick Art Materials,"00711-5018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-blue-half-gallon/,""
102,Blickcrylic - Primary Yellow,Paint,"Blickrylic Student Acrylics - Primary Yellow, Half Gallon",Art 2,Blick Art Materials,"00711-4018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-yellow-half-gallon/,""
102,Blickcrylic - Primary Yellow,Paint,"Blickrylic Student Acrylics - Primary Yellow, Half Gallon",Art 4,Blick Art Materials,"00711-4018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-yellow-half-gallon/,""
102,Blickcrylic - Primary Yellow,Paint,"Blickrylic Student Acrylics - Primary Yellow, Half Gallon",Art 1,Blick Art Materials,"00711-4018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-yellow-half-gallon/,""
102,Blickcrylic - Primary Yellow,Paint,"Blickrylic Student Acrylics - Primary Yellow, Half Gallon",Art 3,Blick Art Materials,"00711-4018",https://www.dickblick.com/items/blickrylic-student-acrylics-primary-yellow-half-gallon/,""
103,Blickcrylic - Titanium Wht,Paint,"Blickrylic Student Acrylics - Titanium White, Half Gallon",Art 2,Blick Art Materials,"00711-1118",https://www.dickblick.com/items/blickrylic-student-acrylics-titanium-white-half-gallon/,""
103,Blickcrylic - Titanium Wht,Paint,"Blickrylic Student Acrylics - Titanium White, Half Gallon",Art 4,Blick Art Materials,"00711-1118",https://www.dickblick.com/items/blickrylic-student-acrylics-titanium-white-half-gallon/,""
103,Blickcrylic - Titanium Wht,Paint,"Blickrylic Student Acrylics - Titanium White, Half Gallon",Art 1,Blick Art Materials,"00711-1118",https://www.dickblick.com/items/blickrylic-student-acrylics-titanium-white-half-gallon/,""
103,Blickcrylic - Titanium Wht,Paint,"Blickrylic Student Acrylics - Titanium White, Half Gallon",Art 3,Blick Art Materials,"00711-1118",https://www.dickblick.com/items/blickrylic-student-acrylics-titanium-white-half-gallon/,""
104,Blickcrylic - Raw Sienna,Paint,"Blickrylic Student Acrylics -Raw Sienna, Half Gallon",Art 2,Blick Art Materials,"00711-8068",https://www.dickblick.com/products/blickrylic-student-acrylics/?Item=00711-8068,""
104,Blickcrylic - Raw Sienna,Paint,"Blickrylic Student Acrylics -Raw Sienna, Half Gallon",Art 4,Blick Art Materials,"00711-8068",https://www.dickblick.com/products/blickrylic-student-acrylics/?Item=00711-8068,""
104,Blickcrylic - Raw Sienna,Paint,"Blickrylic Student Acrylics -Raw Sienna, Half Gallon",Art 1,Blick Art Materials,"00711-8068",https://www.dickblick.com/products/blickrylic-student-acrylics/?Item=00711-8068,""
104,Blickcrylic - Raw Sienna,Paint,"Blickrylic Student Acrylics -Raw Sienna, Half Gallon",Art 3,Blick Art Materials,"00711-8068",https://www.dickblick.com/products/blickrylic-student-acrylics/?Item=00711-8068,""
105,Chromacryl - Black,Paint,"Chromacryl Students' Acrylics - Black, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-2008",https://www.dickblick.com/items/chromacryl-students-acrylics-black-64-oz-bottle/,""
105,Chromacryl - Black,Paint,"Chromacryl Students' Acrylics - Black, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-2008",https://www.dickblick.com/items/chromacryl-students-acrylics-black-64-oz-bottle/,""
106,Chromacryl - Blockout White,Paint,"Chromacryl Students' Acrylics - Blockout White, 1/2 Gallon",Adv Art 1,Blick Art Materials,"00709-1028",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-1026,""
106,Chromacryl - Blockout White,Paint,"Chromacryl Students' Acrylics - Blockout White, 1/2 Gallon",Adv Art 2,Blick Art Materials,"00709-1028",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-1026,""
107,Chromacryl - Burnt Sienna,Paint,"Chromacryl Students' Acrylics - Burnt Sienna, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-8048",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-8048,""
107,Chromacryl - Burnt Sienna,Paint,"Chromacryl Students' Acrylics - Burnt Sienna, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-8048",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-8048,""
108,Chromacryl - Burnt Umber,Paint,"Chromacryl Students' Acrylics - Burnt Umber, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-8058",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-8058,""
108,Chromacryl - Burnt Umber,Paint,"Chromacryl Students' Acrylics - Burnt Umber, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-8058",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-8058,""
109,Chromacryl - Cool Blue,Paint,"Chromacryl Students' Acrylics - Cool Blue, 64 oz tube",Adv Art 1,Blick Art Materials,"00709-5628",https://www.dickblick.com/items/chromacryl-students-acrylics-cool-blue-64-oz-tube/,""
109,Chromacryl - Cool Blue,Paint,"Chromacryl Students' Acrylics - Cool Blue, 64 oz tube",Adv Art 2,Blick Art Materials,"00709-5628",https://www.dickblick.com/items/chromacryl-students-acrylics-cool-blue-64-oz-tube/,""
110,Chromacryl - Cool Red,Paint,"Chromacryl Students' Acrylics - Cool Red, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-3718",https://www.dickblick.com/items/chromacryl-students-acrylics-cool-red-64-oz-bottle/,""
110,Chromacryl - Cool Red,Paint,"Chromacryl Students' Acrylics - Cool Red, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-3718",https://www.dickblick.com/items/chromacryl-students-acrylics-cool-red-64-oz-bottle/,""
111,Chromacryl - Cool Yellow,Paint,"Chromacryl Students' Acrylics - Cool Yellow, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-4478",https://www.dickblick.com/items/chromacryl-students-acrylics-cool-yellow-64-oz-bottle/,""
111,Chromacryl - Cool Yellow,Paint,"Chromacryl Students' Acrylics - Cool Yellow, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-4478",https://www.dickblick.com/items/chromacryl-students-acrylics-cool-yellow-64-oz-bottle/,""
112,Chromacryl - Warm Blue,Paint,"Chromacryl Students' Acrylics - Warm Blue, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-5508",https://www.dickblick.com/items/chromacryl-students-acrylics-warm-blue-64-oz-bottle/,""
112,Chromacryl - Warm Blue,Paint,"Chromacryl Students' Acrylics - Warm Blue, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-5508",https://www.dickblick.com/items/chromacryl-students-acrylics-warm-blue-64-oz-bottle/,""
113,Chromacryl - Warm Red,Paint,"Chromacryl Students' Acrylics - Warm Red, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-3728",https://www.dickblick.com/items/chromacryl-students-acrylics-warm-red-64-oz-bottle/,""
113,Chromacryl - Warm Red,Paint,"Chromacryl Students' Acrylics - Warm Red, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-3728",https://www.dickblick.com/items/chromacryl-students-acrylics-warm-red-64-oz-bottle/,""
114,Chromacryl - Warm Yellow,Paint,"Chromacryl Students' Acrylics - Warm Yellow, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-4428",https://www.dickblick.com/items/chromacryl-students-acrylics-warm-yellow-64-oz-bottle/,""
114,Chromacryl - Warm Yellow,Paint,"Chromacryl Students' Acrylics - Warm Yellow, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-4428",https://www.dickblick.com/items/chromacryl-students-acrylics-warm-yellow-64-oz-bottle/,""
115,Chromacryl - White,Paint,"Chromacryl Students' Acrylics - White, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-1008",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-1008,""
115,Chromacryl - White,Paint,"Chromacryl Students' Acrylics - White, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-1008",https://www.dickblick.com/products/chromacryl-students-acrylics/?Item=00709-1008,""
116,Chromacryl - Yellow Oxide,Paint,"Chromacryl Students' Acrylics - Yellow Oxide, 64 oz bottle",Adv Art 1,Blick Art Materials,"00709-4118",https://www.dickblick.com/items/chromacryl-students-acrylics-yellow-oxide-64-oz-bottle/,""
116,Chromacryl - Yellow Oxide,Paint,"Chromacryl Students' Acrylics - Yellow Oxide, 64 oz bottle",Adv Art 2,Blick Art Materials,"00709-4118",https://www.dickblick.com/items/chromacryl-students-acrylics-yellow-oxide-64-oz-bottle/,""
117,Liquitex Fluorescent Paint,Paint,"Liquitex Basics Acrylic Paints - Set of 6 Fluorescent, 22 ml",AP2D,Blick Art Materials,"00717-0609",https://www.dickblick.com/items/liquitex-basics-acrylic-set-set-of-6-fluorescent-75-oz-tubes/,""
117,Liquitex Fluorescent Paint,Paint,"Liquitex Basics Acrylic Paints - Set of 6 Fluorescent, 22 ml",Drawing,Blick Art Materials,"00717-0609",https://www.dickblick.com/items/liquitex-basics-acrylic-set-set-of-6-fluorescent-75-oz-tubes/,""
118,Liquitex Metallic Paint,Paint,"Liquitex Basics Acrylic Paints - Set of 6, Metallic and Iridescent, 22 ml",AP2D,Blick Art Materials,"00717-0619",https://www.dickblick.com/items/liquitex-basics-acrylic-set-set-of-6-metallic-75-oz-tubes/,""
118,Liquitex Metallic Paint,Paint,"Liquitex Basics Acrylic Paints - Set of 6, Metallic and Iridescent, 22 ml",Drawing,Blick Art Materials,"00717-0619",https://www.dickblick.com/items/liquitex-basics-acrylic-set-set-of-6-metallic-75-oz-tubes/,""
119,W&N Slow Dry Medium,Paint,Winsor & Newton Artists' Acrylic Slow Drying Medium,AP2D,Blick Art Materials,"02022-3001",https://www.dickblick.com/products/winsor-newton-artists-acrylic-slow-drying-medium/?fromSearch=%2Fsearch%2F%3Fsearchword%3D02022-3001,""
119,W&N Slow Dry Medium,Paint,Winsor & Newton Artists' Acrylic Slow Drying Medium,Drawing,Blick Art Materials,"02022-3001",https://www.dickblick.com/products/winsor-newton-artists-acrylic-slow-drying-medium/?fromSearch=%2Fsearch%2F%3Fsearchword%3D02022-3001,""
120,Canvas Packs,Painting,Blick Academic Canvas 2-Packs,Whole Department,Blick Art Materials,various,https://www.dickblick.com/products/blick-academic-cotton-canvas-packs/?fromSearch=%2Fsearch%2F%3Fsearchword%3D07167-1620,""
121,Canvas 16 x 20,Painting,"Blick Academic Cotton Stretched Canvas Pack - 16"" x 20"", Pkg of 2",Whole Department,Blick Art Materials,"07167-1620",https://www.dickblick.com/items/blick-academic-cotton-stretched-canvas-16-x-20-pkg-of-2/,""
122,Oil and Acrylic Pad Sheets,Painting,"Canson XL Oil and Acrylic Pad - 11"" x 14"", 24 Sheets",Whole Department,Blick Art Materials,"34920-1063",https://www.dickblick.com/items/canson-xl-oil-acrylic-pad-11-x-14-24-sheets/,""
123,Watercolor Pan Set - Square,Painting,"Prang Semi-Moist Watercolor Paint - Square Pans, Assorted, Set of 16",Whole Department,Blick Art Materials,"00305-1008",https://www.dickblick.com/items/prang-watercolor-pans-square-assorted-set-of-16-colors/,""
124,Watercolor Pan Set - Oval,Painting,"Prang Watercolor Pans - Oval, Assorted, Set of 16 colors",Whole Department,Blick Art Materials,"00305-1009",https://www.dickblick.com/items/prang-watercolor-pans-oval-assorted-set-of-16-colors/,""
125,Disposable Palette Paper,Painting,"Richeson Disposable Palette Paper Bulk Pack - 11"" x 14"" pkg of 1400",Whole Department,Blick Art Materials,"03513-1005",https://www.dickblick.com/items/richeson-disposable-palette-paper-bulk-pack-11-x-14-pkg-of-1400/,""
126,Blick Unprimed Cotton Canvas,Painting,"Unprimed Canvas by the yard - 7oz 72""",Art 2,Blick Art Materials,"07334-1772",https://www.dickblick.com/items/blick-cotton-canvas-by-the-yard-7-oz-unprimed-72/,""
126,Blick Unprimed Cotton Canvas,Painting,"Unprimed Canvas by the yard - 7oz 72""",Art 4,Blick Art Materials,"07334-1772",https://www.dickblick.com/items/blick-cotton-canvas-by-the-yard-7-oz-unprimed-72/,""
126,Blick Unprimed Cotton Canvas,Painting,"Unprimed Canvas by the yard - 7oz 72""",Adv Art 1,Blick Art Materials,"07334-1772",https://www.dickblick.com/items/blick-cotton-canvas-by-the-yard-7-oz-unprimed-72/,""
126,Blick Unprimed Cotton Canvas,Painting,"Unprimed Canvas by the yard - 7oz 72""",Art 3,Blick Art Materials,"07334-1772",https://www.dickblick.com/items/blick-cotton-canvas-by-the-yard-7-oz-unprimed-72/,""
127,Watercolor Paper 90b - 18 x 24 ,Paper,"Blick Essentials Watercolor Pad - 18"" x 24"", 90 lb, Tapebound, 15 Sheets",Whole Department,Blick Art Materials,"10180-1009",https://www.dickblick.com/items/blick-essentials-watercolor-pad-18-x-24-90-lb-tapebound-15-sheets/,""
128,Watercolor Paper 140lb - 18 x 24 ,Paper,"Blick Studio Watercolor Pad - 18"" x 24"", 140 lb, Tapebound, 15 Sheets",AP2D,Blick Art Materials,"10180-1209",https://www.dickblick.com/items/blick-studio-watercolor-pad-18-x-24-140-lb-tapebound-15-sheets/,""
128,Watercolor Paper 140lb - 18 x 24 ,Paper,"Blick Studio Watercolor Pad - 18"" x 24"", 140 lb, Tapebound, 15 Sheets",Drawing,Blick Art Materials,"10180-1209",https://www.dickblick.com/items/blick-studio-watercolor-pad-18-x-24-140-lb-tapebound-15-sheets/,""
129,Black Mat Board,Paper,"Crescent Bulk Matboards - Black, 32"" x 40"", Pkg of 25",Whole Department,Blick Art Materials,"13046-2020",https://www.dickblick.com/items/crescent-bulk-matboards-black-32-x-40-pkg-of-25/,""
130,White Mat Board,Paper,"Crescent Bulk Matboards - White, 32"" x 40"", Pkg of 25",Whole Department,Blick Art Materials,"13046-1020",https://www.dickblick.com/items/crescent-bulk-matboards-white-32-x-40-pkg-of-25/,""
131,Yupo Watercolor Paper,Paper,"Yupo Synthetic Paper, Single Sheet, ",Adv Art 2,Blick Art Materials,"10067-1031",https://www.dickblick.com/products/legion-yupo-synthetic-paper-sheets-and-rolls/,""
131,Yupo Watercolor Paper,Paper,"Yupo Synthetic Paper, Single Sheet, ",AP2D,Blick Art Materials,"10067-1031",https://www.dickblick.com/products/legion-yupo-synthetic-paper-sheets-and-rolls/,""
131,Yupo Watercolor Paper,Paper,"Yupo Synthetic Paper, Single Sheet, ",Drawing,Blick Art Materials,"10067-1031",https://www.dickblick.com/products/legion-yupo-synthetic-paper-sheets-and-rolls/,""
132,Blue Lino Cut Sheets 5 x 7,Printmaking,"Blick Blue Easy-To-Cut - Sheet, 5"" x 7""",Adv Art 1,Blick Art Materials,"40420-1057",https://www.dickblick.com/items/blick-blue-easy-to-cut-sheet-5-x-7/,""
132,Blue Lino Cut Sheets 5 x 7,Printmaking,"Blick Blue Easy-To-Cut - Sheet, 5"" x 7""",Adv Art 2,Blick Art Materials,"40420-1057",https://www.dickblick.com/items/blick-blue-easy-to-cut-sheet-5-x-7/,""
133,Block Print Ink - Black,Printmaking,"Blick Water-Soluble Block Printing Ink - Black, 5 oz Tube",Adv Art 1,Blick Art Materials,"40305-2007",https://www.dickblick.com/items/blick-water-soluble-block-printing-ink-black-5-oz-tube/,""
133,Block Print Ink - Black,Printmaking,"Blick Water-Soluble Block Printing Ink - Black, 5 oz Tube",Adv Art 2,Blick Art Materials,"40305-2007",https://www.dickblick.com/items/blick-water-soluble-block-printing-ink-black-5-oz-tube/,""
134,Block Print Ink - Gold,Printmaking,"Blick Water-Soluble Block Printing Ink - Gold, 8 oz Jar",Adv Art 1,Blick Art Materials,"40305-4055",https://www.dickblick.com/items/blick-water-soluble-block-printing-ink-gold-8-oz-jar/,""
134,Block Print Ink - Gold,Printmaking,"Blick Water-Soluble Block Printing Ink - Gold, 8 oz Jar",Adv Art 2,Blick Art Materials,"40305-4055",https://www.dickblick.com/items/blick-water-soluble-block-printing-ink-gold-8-oz-jar/,""
135,Lino Cut Set No. 1 V-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 1 Small V",Adv Art 1,Blick Art Materials,"40203-1212",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-1-small-v/,""
135,Lino Cut Set No. 1 V-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 1 Small V",Adv Art 2,Blick Art Materials,"40203-1212",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-1-small-v/,""
136,Lino Cut Set No. 2 V-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 2 Large V",Adv Art 1,Blick Art Materials,"40203-1412",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-2-large-v/,""
136,Lino Cut Set No. 2 V-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 2 Large V",Adv Art 2,Blick Art Materials,"40203-1412",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-2-large-v/,""
137,Lino Cut Set No. 3 U-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 3 Small U Gouge",Adv Art 1,Blick Art Materials,"40203-1312",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-3-small-u-gouge/,""
137,Lino Cut Set No. 3 U-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 3 Small U Gouge",Adv Art 2,Blick Art Materials,"40203-1312",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-3-small-u-gouge/,""
138,Lino Cut Set No. 5 U-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 5 Large U-Gouge",Adv Art 1,Blick Art Materials,"40203-1012",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-5-large-u-gouge/,""
138,Lino Cut Set No. 5 U-Gouge,Printmaking,"Speedball Linoleum Cutter - Pkg of 12, No. 5 Large U-Gouge",Adv Art 2,Blick Art Materials,"40203-1012",https://www.dickblick.com/items/speedball-linoleum-cutter-pkg-of-12-no-5-large-u-gouge/,""
139,Lino Cutter Handles,Printmaking,"Speedball Linoleum Cutter Handles - Box of 12, Assorted Colors",Adv Art 1,Blick Art Materials,"40201-1009",https://www.dickblick.com/items/speedball-linoleum-cutter-handles-box-of-12-assorted-colors/,""
139,Lino Cutter Handles,Printmaking,"Speedball Linoleum Cutter Handles - Box of 12, Assorted Colors",Adv Art 2,Blick Art Materials,"40201-1009",https://www.dickblick.com/items/speedball-linoleum-cutter-handles-box-of-12-assorted-colors/,""
140,Lino Cutter No. 1 - set,Printmaking,"Speedball Linoleum Cutters - Lino Cutter No. 1, Set of 5 Cutters",Adv Art 1,Blick Art Materials,"40203-1019",https://www.dickblick.com/items/speedball-lino-set-no-1-without-handle/,""
140,Lino Cutter No. 1 - set,Printmaking,"Speedball Linoleum Cutters - Lino Cutter No. 1, Set of 5 Cutters",Adv Art 2,Blick Art Materials,"40203-1019",https://www.dickblick.com/items/speedball-lino-set-no-1-without-handle/,""
141,Block Pring Ink - Proc Cyan,Printmaking,"Speedball Water-Soluble Block Printing Ink - Process Cyan, 5 oz",Adv Art 1,Blick Art Materials,"40303-5512",https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dprocess+yellow+ink&Item=40303-5512,""
141,Block Pring Ink - Proc Cyan,Printmaking,"Speedball Water-Soluble Block Printing Ink - Process Cyan, 5 oz",Adv Art 2,Blick Art Materials,"40303-5512",https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dprocess+yellow+ink&Item=40303-5512,""
142,Block Print Ink - Proc Magenta,Printmaking,"Speedball Water-Soluble Block Printing Ink - Process Magenta, 5 oz",Adv Art 1,Blick Art Materials,"40303-3712",https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?Item=40303-3712,""
142,Block Print Ink - Proc Magenta,Printmaking,"Speedball Water-Soluble Block Printing Ink - Process Magenta, 5 oz",Adv Art 2,Blick Art Materials,"40303-3712",https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?Item=40303-3712,""
143,Block Print Ink - Proc Yellow,Printmaking,"Speedball Water-Soluble Block Printing Ink - Process Yellow, 5 oz",Adv Art 1,Blick Art Materials,"40303-4402",https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dprocess+yellow+ink&Item=40303-4402,""
143,Block Print Ink - Proc Yellow,Printmaking,"Speedball Water-Soluble Block Printing Ink - Process Yellow, 5 oz",Adv Art 2,Blick Art Materials,"40303-4402",https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dprocess+yellow+ink&Item=40303-4402,""
144,Block Printing Ink,Printmaking,Speedball Water-Soluble Block Printing Inks and Sets,Adv Art 1,Blick Art Materials,Various,https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/,""
144,Block Printing Ink,Printmaking,Speedball Water-Soluble Block Printing Inks and Sets,Adv Art 2,Blick Art Materials,Various,https://www.dickblick.com/products/speedball-water-soluble-block-printing-inks/,""
145,Aluminum Foil 250sqft,Sculpture,Aluminum Foil,Art 2,Amazon,Various,https://www.amazon.com/Amazon-Basics-Aluminum-Foil-Pack/dp/B093WS3YGV/ref=sr_1_8?crid=1RIA6GC04VIXS&dib=eyJ2IjoiMSJ9.JN6kgihxZp9y04DiAZCkAqUQoB3Tm9IR1826PkVyWckk2A4F52jpL2mBWIkyz9dFgcGOJ0Hj2n_Q4hnzHDhXZriyxnQycP1t1jVNLM95CluA6g5cFamiuW9xlZg6jnHNCKf0EC6m5zOkWwH5MKCun9JwIO-QiUkk1NUBFKIk_v7YLVl_pthIgIhxpliaL5W7-o2imoQwVCzxtvzVD4QKlbmJ4Pi1M69YZfbcvaTvdj77fBuYAAJYqY_xj4NroLKdR5al-2rk7Qr60cMwDfrfiZ7GphNP89bCOFet5-0OT50.QeYYtvXuS8AcoV8ts3uvyOgQaAhq4pGGQj3mNT9hVdY&dib_tag=se&keywords=aluminum%2Bfoil&qid=1775911216&rdc=1&sprefix=aluminum%2Caps%2C145&sr=8-8&th=1,"250 sqft is recommened amount. Can get less for class needs"
145,Aluminum Foil 250sqft,Sculpture,Aluminum Foil,Art 4,Amazon,Various,https://www.amazon.com/Amazon-Basics-Aluminum-Foil-Pack/dp/B093WS3YGV/ref=sr_1_8?crid=1RIA6GC04VIXS&dib=eyJ2IjoiMSJ9.JN6kgihxZp9y04DiAZCkAqUQoB3Tm9IR1826PkVyWckk2A4F52jpL2mBWIkyz9dFgcGOJ0Hj2n_Q4hnzHDhXZriyxnQycP1t1jVNLM95CluA6g5cFamiuW9xlZg6jnHNCKf0EC6m5zOkWwH5MKCun9JwIO-QiUkk1NUBFKIk_v7YLVl_pthIgIhxpliaL5W7-o2imoQwVCzxtvzVD4QKlbmJ4Pi1M69YZfbcvaTvdj77fBuYAAJYqY_xj4NroLKdR5al-2rk7Qr60cMwDfrfiZ7GphNP89bCOFet5-0OT50.QeYYtvXuS8AcoV8ts3uvyOgQaAhq4pGGQj3mNT9hVdY&dib_tag=se&keywords=aluminum%2Bfoil&qid=1775911216&rdc=1&sprefix=aluminum%2Caps%2C145&sr=8-8&th=1,"250 sqft is recommened amount. Can get less for class needs"
