"material_id","material_name","material_type","item_description","class_name","vendor_name","vendor_item_number","url_link","notes"
24,"Short Liner, Short Handle, 18/0",Brushes,"Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 18/0",Adv Art 2,Blick Art Materials,"06391-7018",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7018,""
25,"Spotter, Short Handle, 5/0",Brushes,"Princeton Select Synthetic Brush - Spotter, Short Handle, 5/0",Drawing,Blick Art Materials,"06376-7050",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06376-7050,""
25,"Spotter, Short Handle, 5/0",Brushes,"Princeton Select Synthetic Brush - Spotter, Short Handle, 5/0",Adv Art 2,Blick Art Materials,"06376-7050",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06376-7050,""
26,Glazing Fan Brush,Brushes,Soft Fan Brush - 6 | Royal Langnickel,Ceramics,Trinity Ceramics,SKU: 6527,https://trinityceramic.com/product/r835-6/,""
27,Glazing Brush Set 72,Brushes,Various Glaze brush sizes - blue handle,Ceramics,Blick Art Materials,"06424-1729",https://www.dickblick.com/items/royal-langnickel-ceramic-classroom-brush-assortment-set-of-72/,""
28,Glazing Brush Set 60,Brushes,Various Glaze brush sizes - clear handle,Ceramics,Blick Art Materials,"05891-1049",https://www.dickblick.com/items/royal-langnickel-clear-choice-brush-set-soft-natural-ceramic-brushes-set-of-60-short-handle/,""
29,"32oz Mixing Containers",Ceramics,"32oz. Mixing Containers 36 Pack",Ceramics,Amazon,Various,https://www.amazon.com/Custom-Shop-Graduated-Calibrated-Multiple/dp/B07XQJ9TR7/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56%3Aamzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56&crid=1G2K1D5CII8ZW&cv_ct_cx=mixing%2Bcups%2B32%2Boz&keywords=mixing%2Bcups%2B32%2Boz&pd_rd_i=B07XQJ9TR7&pd_rd_r=2516e873-0fe1-4ced-8044-26008e5a28d0&pd_rd_w=6gnc9&pd_rd_wg=8RlTt&pf_rd_p=3859b1f1-8b34-4d43-bd56-696bede8aa56&pf_rd_r=4CYK0WV7BZYDD8PEPJQ1&qid=1775953584&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=mixing%2Bcups%2B32%2B%2Caps%2C144&sr=1-2-383bc08e-f3b5-4928-b079-a9607486ab19-spons&aref=hhnNcLezBr&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,"for ceramics, mixing glazes etc."
29,"32oz Mixing Containers",Ceramics,"32oz. Mixing Containers 36 Pack",AP3D,Amazon,Various,https://www.amazon.com/Custom-Shop-Graduated-Calibrated-Multiple/dp/B07XQJ9TR7/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56%3Aamzn1.sym.3859b1f1-8b34-4d43-bd56-696bede8aa56&crid=1G2K1D5CII8ZW&cv_ct_cx=mixing%2Bcups%2B32%2Boz&keywords=mixing%2Bcups%2B32%2Boz&pd_rd_i=B07XQJ9TR7&pd_rd_r=2516e873-0fe1-4ced-8044-26008e5a28d0&pd_rd_w=6gnc9&pd_rd_wg=8RlTt&pf_rd_p=3859b1f1-8b34-4d43-bd56-696bede8aa56&pf_rd_r=4CYK0WV7BZYDD8PEPJQ1&qid=1775953584&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=mixing%2Bcups%2B32%2B%2Caps%2C144&sr=1-2-383bc08e-f3b5-4928-b079-a9607486ab19-spons&aref=hhnNcLezBr&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1,"for ceramics, mixing glazes etc."
30,"64oz Mixing Containers",Ceramics,"64oz. Mixing Containers 12 Pack ",Ceramics,Amazon,Various,https://www.amazon.com/dp/B00A6DGE9C/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B00A6DGE9C&pd_rd_w=HWlKf&content-id=amzn1.sym.613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_p=613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_r=ZTXHJ2G2VK9JCV6TV81B&pd_rd_wg=RckyE&pd_rd_r=17095dd1-4c9e-40c0-897e-ae9f5c2cfcab&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"for ceramics, mixing glazes etc."
30,"64oz Mixing Containers",Ceramics,"64oz. Mixing Containers 12 Pack ",AP3D,Amazon,Various,https://www.amazon.com/dp/B00A6DGE9C/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B00A6DGE9C&pd_rd_w=HWlKf&content-id=amzn1.sym.613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_p=613a5a0c-ad86-44dc-b9ed-5da62fb83b9e&pf_rd_r=ZTXHJ2G2VK9JCV6TV81B&pd_rd_wg=RckyE&pd_rd_r=17095dd1-4c9e-40c0-897e-ae9f5c2cfcab&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"for ceramics, mixing glazes etc."
