"decade","genre","platform","num_games","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
2000,"Racing","Wii","67","28.27","18.23","4.09","5.06","55.70"
2000,"Sports","X360","110","37.88","12.42","0.26","4.40","55.01"
2000,"Sports","XB","170","41.22","10.96","0.16","2.04","54.54"
2000,"Action","PSP","121","22.46","16.18","4.03","10.23","52.83"
2000,"Rhythm/Music","Wii","58","30.67","14.78","1.91","4.72","52.20"
2000,"Fitness","Wii","4","20.41","17.21","6.13","4.21","47.96"
2000,"Action","XB","158","33.27","12.47","0.33","1.74","47.81"
2000,"Sports","PS3","86","23.41","14.20","2.64","5.32","45.51"
2000,"Action","GC","106","27.42","8.12","2.83","1.03","39.53"
2000,"Action","PS","52","19.32","15.93","1.25","2.23","38.77"
2000,"Adventure","DS","181","21.59","7.58","6.49","2.78","38.44"
2000,"Racing","X360","49","20.78","13.36","0.37","3.77","38.27"
2000,"Racing","DS","55","18.72","8.92","4.53","2.82","35.01"
2000,"Simulation","PC","74","15.29","16.91","0","2.47","34.75"
2000,"Racing","PS3","41","12.90","14.68","1.24","5.54","34.40"
2000,"Racing","PSP","61","14.61","11.47","0.95","6.83","33.88"
2000,"Role-Playing","X360","39","21.44","7.61","1.80","2.94","33.78"
2000,"Simulation","PS2","67","13.97","9.86","5.91","3.30","33.02"
2000,"Sports","PSP","96","15.60","8.64","3.36","4.70","32.26"
2000,"Racing","XB","122","21.48","8.67","0.17","1.06","31.49"
2000,"Simulation","Wii","72","19.60","5.69","1.87","2.48","29.76"
2000,"Sports","PS","64","16.80","8.97","1.85","1.70","29.28"
2000,"Role-Playing","PSP","99","9.49","2.83","14.23","2.33","28.96"
2000,"Platform","GC","72","20.08","5.87","1.50","0.73","28.24"
2000,"Rhythm/Music","X360","33","19.28","5.25","0.01","2.40","26.89"
2000,"Sports","DS","114","12.70","6.89","4.72","2.15","26.54"
2000,"Sports","GC","109","18.34","4.77","1.63","0.56","25.45"
2000,"Shooter","Wii","43","15.38","5.74","0.61","2.16","23.95"
2000,"Role-Playing","PS3","25","11.45","5.58","4.20","2.73","23.94"
2000,"Educational","DS","88","6.65","5.00","10.27","0.93","22.85"
2000,"Racing","GC","63","14.97","4.85","1.57","0.54","21.95"
2000,"Fighting","PS3","17","10.71","6.03","1.47","2.89","21.09"
2000,"Rhythm/Music","PS3","37","11.21","6.77","0.02","2.83","20.84"
2000,"Compilation","GBA","37","14.08","5.21","0.55","0.31","20.22"
2000,"Fighting","Wii","28","10.54","3.65","3.54","1.48","19.23"
2000,"Adventure","PS2","178","6.43","4.87","6.20","1.79","19.22"
2000,"Compilation","PS2","34","10.48","6.26","0.23","2.05","19.07"
2000,"Rhythm/Music","DS","45","8.80","4.11","4.74","1.34","19.06"
2000,"Racing","GBA","64","11.73","5.04","1.50","0.54","18.80"
2000,"Shooter","PSP","32","9.88","5.11","0.25","3.51","18.73"
2000,"Strategy","PS2","73","4.95","3.46","8.28","1.21","17.97"
2000,"Party/Minigames","DS","28","9.56","4.11","2.35","1.35","17.36"
2000,"Role-Playing","PC","47","4.13","11.33","0","1.70","17.25"
2000,"Fighting","GC","38","10.04","2.58","3.69","0.50","16.82"
2000,"Sports","GBA","89","10.35","3.81","1.99","0.24","16.48"
2000,"Platform","PSP","32","7.77","4.96","0.62","3.11","16.48"
2000,"Fighting","X360","21","11.06","3.34","0.56","1.44","16.40"
2000,"Puzzle","Wii","44","8.07","5.48","1.27","1.51","16.37"
2000,"Platform","PS3","14","6.68","6.36","0.36","2.94","16.33"
2000,"Role-Playing","PS","16","2.95","1.68","11.12","0.51","16.24"
2000,"Trivia/Board Game","Wii","30","9.40","3.52","0.60","1.19","14.74"
2000,"Adventure","Wii","62","9.29","3.06","1.17","1.12","14.70"
2000,"Adventure","GBA","38","9.21","3.52","1.57","0.33","14.68"
2000,"Fighting","PSP","46","5.69","2.71","4.02","1.91","14.34"
2000,"Shooter","GC","49","10.09","2.92","0.37","0.33","13.74"
2000,"Role-Playing","XB","23","9.89","3.04","0.08","0.50","13.51"
2000,"Role-Playing","GC","26","7.90","2.44","2.47","0.34","13.14"
2000,"Role-Playing","GB","10","2.55","1.56","7.45","1.00","12.56"
